"","title","address"
"84","臺北永春郵局(臺北99支)","臺北市信義區忠孝東路5段464、466號"
"85","監察院郵局(臺北100支)","臺北市中正區忠孝東路1段2號(監察院東側，面向鎮江街)"
"86","臺北榮星郵局(臺北101支)","臺北市松山區民權東路3段124之1、2號"
"87","臺北北安郵局(臺北104支)","臺北市中山區北安路630巷10號"
"88","士林芝山郵局(臺北105支)","臺北市士林區士東路286巷36號"
"89","士林法院郵局(臺北106支)","臺北市士林區士東路190號"
"90","臺北中山堂郵局(臺北107支)","臺北市中正區中華路1段53號"
"91","臺北敦南郵局(臺北108支)","臺北市大安區忠孝東路4段170巷9號"
"92","臺北世貿郵局(臺北109支)","臺北市信義區信義路5段5號(世貿中心內)"
"93","臺北南門郵局(臺北110支)","臺北市中正區廣州街2號"
"94","文山萬芳郵局(臺北111支)","臺北市文山區興隆路3段178、180號"
"95","臺北興安郵局(臺北112支)","臺北市中山區復興北路210、212號"
"96","臺大醫院郵局(臺北115支)","臺北市中正區中山南路7號(台大醫院內)"
"97","士林外雙溪郵局(臺北116支)","臺北市士林區明溪街15號"
"98","臺北大安郵局(臺北117支)","臺北市大安區信義路3段89號"
"99","臺北臺塑郵局(臺北118支)","臺北市松山區民生東路4段54之2號"
"100","臺北中聯郵局(臺北120支)","臺北市中正區徐州路5號地下一樓(中央聯合辦公大樓內)"
"101","臺北龍江路郵局(臺北121支)","臺北市中山區龍江路335號"
"102","國防部郵局(臺北122支)","臺北市中山區北安路409號"
"103","士林劍潭郵局(臺北123支)","臺北市士林區基河路14號"
"104","陽明山郵局(臺北124支)","臺北市北投區紗帽路139之1號"
"105","文化大學郵局(臺北125支)","臺北市士林區華岡路55號"
"106","士林社新里郵局(臺北126支)","臺北市士林區延平北路6段197號"
"107","臺北信義郵局(臺北128支)","臺北市信義區松廉路76號(信義投遞中心)"
"108","士林名山里郵局(臺北129支)","臺北市士林區至誠路2段70號"
"109","北投郵局(臺北131支)","臺北市北投區光明路181號"
"110","北投復興崗郵局(臺北132支)","臺北市北投區中央北路2段70號"
"111","北投石牌郵局(臺北133支)","臺北市北投區石牌路2段93-2號"
"112","北投關渡郵局(臺北134支)","臺北市北投區知行路293巷9弄11號"
"113","北投舊北投郵局(臺北135支)","臺北市北投區中央南路1段201號"
"114","北投榮總郵局(臺北136支)","臺北市北投區石牌路2段201號"
"115","北投文林郵局(臺北137支)","臺北市北投區文林北路96號"
"116","北投山腳郵局(臺北138支)","臺北市北投區中和街408號"
"117","北投實踐郵局(臺北139支)","臺北市北投區實踐街48巷11號"
"118","北投致遠郵局(臺北140支)","臺北市北投區致遠一路1段121號"
"119","北投文化郵局(臺北141支)","臺北市北投區文化三路8號"
"120","北投明德郵局(臺北142支)","臺北市北投區明德路210號"
"121","北投尊賢郵局(臺北143支)","臺北市北投區尊賢街247-4號"
"122","北投奇岩郵局(臺北144支)","臺北市北投區公館路271號"
"123","北投豐年郵局(臺北145支)","臺北市北投區中央北路2段329號"
"124","北投一德郵局(臺北146支)","臺北市北投區中央北路4段529號"
"125","陽明大學郵局(臺北147支)","臺北市北投區立農街2段155號"
"126","內湖郵局(臺北148支)","臺北市內湖區民權東路6段83號"
"127","內湖碧湖郵局(臺北149支)","臺北市內湖區內湖路2段225號"
"128","內湖週美郵局(臺北150支)","臺北市內湖區新明路380巷4弄4號"
"129","內湖文德郵局(臺北151支)","臺北市內湖區文德路26號"
"130","內湖金龍郵局(臺北152支)","臺北市內湖區內湖路3段131號"
"131","內湖西湖郵局(臺北153支)","臺北市內湖區內湖路1段331號"
"132","內湖東湖郵局(臺北154支)","臺北市內湖區康樂街16號"
"133","內湖大湖郵局(臺北155支)","臺北市內湖區大湖街166巷2號"
"134","內湖江南郵局(臺北156支)","臺北市內湖區瑞光路316巷1號"
"135","內湖北勢湖郵局(臺北157支)","臺北市內湖區內湖路1段91巷2-1號"
"136","內湖舊宗郵局(臺北158支)","臺北市內湖區舊宗路1段189號"
"137","內湖康寧郵局(臺北159支)","臺北市內湖區康寧路3段22號之1"
"138","內湖三總郵局(臺北160支)","臺北市內湖區成功路2段325號2樓"
"139","南港昆陽郵局(臺北161支)","臺北市南港區忠孝東路6段400、402、404、406號"
"140","中研院郵局(臺北162支)","臺北市南港區研究院路2段108號"
"141","南港港三郵局(臺北164支)","臺北市南港區南港路3段184號"
"142","南港富康郵局(臺北165支)","臺北市南港區研究院路1段44號"
"143","南港同德郵局(臺北166支)","臺北市南港區同德路85巷2號"
"144","南港郵局(臺北167支)","臺北市南港區南港路2段78號"
"145","南港福德郵局(臺北168支)","臺北市南港區福德街314、316號"
"146","南港後山埤郵局(臺北169支)","臺北市南港區忠孝東路5段994號"
"147","木柵郵局(臺北170支)","臺北市文山區木柵路3段27號"
"148","文山指南郵局(臺北171支)","臺北市文山區指南路2段115號"
"149","文山溝子口郵局(臺北172支)","臺北市文山區木柵路1段119號"
"150","文山木新郵局(臺北173支)","臺北市文山區木新路3段329號"
"151","世新大學郵局(臺北176支)","臺北市文山區木柵路1段17巷1號"
"152","臺北仁杭郵局(臺北177支)","臺北市中正區杭州南路１段24號1樓(交通部大樓國際會議廳)"
"153","文山樟腳里郵局(臺北178支)","臺北市文山區木新路3段25號"
"154","文山萬美街郵局(臺北183支)","臺北市文山區萬美街1段51號"
"155","南港軟體園區郵局(臺北191支)","臺北市南港區園區街3-2號H棟1樓"
"156","臺北樂群二路郵局(臺北192支)","臺北市中山區樂群二路147號"
