V1,V2,V3,V4,V5,V6
復興崗站出口1,1,121.485373,25.137665,157,157
忠義站出口1,1,121.473169,25.131056,158,158
忠義站出口2,2,121.473657,25.130905,159,159
關渡站出口1,1,121.467215,25.125431,160,160
關渡站出口2,2,121.466861,25.12547,161,161
竹圍站出口1,1,121.459726,25.136971,162,162
竹圍站出口2,2,121.459383,25.136854,163,163
紅樹林站出口1,1,121.459039,25.154137,164,164
紅樹林站出口2,2,121.458583,25.153831,165,165
淡水站出口1,1,121.445355,25.168084,166,166
淡水站出口2,2,121.445988,25.167577,167,167
永寧站出口1,1,121.435254,24.966714,168,168
永寧站出口2,2,121.43568,24.966102,169,169
永寧站出口3,3,121.436799,24.966947,170,170
永寧站出口4,4,121.436412,24.967191,171,171
土城站出口1,1,121.444173,24.973251,172,172
土城站出口2,2,121.443671,24.972663,173,173
土城站出口3,3,121.445266,24.973714,174,174
海山站出口1,1,121.448615,24.985375,175,175
海山站出口2,2,121.448956,24.985329,176,176
海山站出口3,3,121.449127,24.98609,177,177
亞東醫院站出口1,1,121.452581,24.998933,178,178
亞東醫院站出口2,2,121.452388,24.998252,179,179
亞東醫院站出口3,3,121.45287,24.998875,180,180
府中站出口1,1,121.459077,25.008486,181,181
府中站出口2,2,121.459501,25.008943,182,182
府中站出口3,3,121.45897,25.009162,183,183
板橋站出口1,1,121.461754,25.013416,184,184
板橋站出口2,2,121.462483,25.013192,185,185
板橋站出口3,3,121.462589,25.014554,186,186
新埔站出口1,1,121.467457,25.023063,187,187
新埔站出口2,2,121.468176,25.0222,188,188
新埔站出口3,3,121.468574,25.022844,189,189
新埔站出口4,4,121.468728,25.023638,190,190
新埔站出口5,5,121.468138,25.024163,191,191
江子翠站出口1,1,121.471914,25.030298,192,192
江子翠站出口2,2,121.471903,25.029782,193,193
江子翠站出口3,3,121.472156,25.029459,194,194
江子翠站出口4,4,121.472719,25.029763,195,195
江子翠站出口5,5,121.473609,25.031027,196,196
江子翠站出口6,6,121.473126,25.031095,197,197
龍山寺站出口1,1,121.49953,25.035484,198,198
龍山寺站出口2,2,121.499798,25.035109,199,199
龍山寺站出口3,3,121.501622,25.035421,200,200
善導寺站出口1,1,121.523009,25.045097,201,201
善導寺站出口2,2,121.523053,25.044796,202,202
善導寺站出口3,3,121.523734,25.044568,203,203
善導寺站出口4,4,121.524217,25.044111,204,204
善導寺站出口5,5,121.52482,25.044256,205,205
善導寺站出口6,6,121.524898,25.044632,206,206
忠孝新生站出口2,2,121.532065,25.042103,207,207
忠孝新生站出口3,3,121.53368,25.041783,208,208
忠孝新生站出口4,4,121.533213,25.042458,209,209
忠孝新生站出口1,1,121.531829,25.042784,210,210
忠孝新生站出口5,5,121.532232,25.041214,211,211
忠孝新生站出口6,6,121.533068,25.040791,212,212
忠孝新生站出口7,7,121.533068,25.041729,213,213
忠孝敦化站出口1,1,121.550578,25.041642,214,214
忠孝敦化站出口2,2,121.551694,25.041632,215,215
忠孝敦化站出口3,3,121.551586,25.04134,216,216
忠孝敦化站出口4,4,121.550567,25.04135,217,217
忠孝敦化站出口5,5,121.549824,25.041238,218,218
忠孝敦化站出口6,6,121.549174,25.041029,219,219
忠孝敦化站出口7,7,121.549913,25.041661,220,220
忠孝敦化站出口8,8,121.549194,25.041928,221,221
國父紀念館站出口1,1,121.556663,25.041838,222,222
國父紀念館站出口2,2,121.556704,25.041029,223,223
國父紀念館站出口3,3,121.557981,25.041195,224,224
國父紀念館站出口4,4,121.558539,25.04117,225,225
國父紀念館站出口5,5,121.558002,25.041501,226,226
市政府站出口1,1,121.565459,25.041408,227,227
市政府站出口2,2,121.565062,25.040971,228,228
市政府站出口3,3,121.567149,25.040903,229,229
市政府站出口4,4,121.567181,25.041263,230,230
永春站出口1,1,121.57512,25.040995,231,231
永春站出口2,2,121.575383,25.040704,232,232
永春站出口3,3,121.576155,25.040704,233,233
永春站出口4,4,121.576574,25.040699,234,234
永春站出口5,5,121.576622,25.040961,235,235
後山埤站出口1,1,121.58141,25.044422,236,236
後山埤站出口2,2,121.581854,25.043703,237,237
後山埤站出口3,3,121.583277,25.045232,238,238
後山埤站出口4,4,121.582441,25.045653,239,239
昆陽站出口1,1,121.592726,25.050319,240,240
昆陽站出口2,2,121.592825,25.050402,241,241
昆陽站出口3,3,121.59363,25.050599,242,242
昆陽站出口4,4,121.593799,25.050572,243,243
南港站出口1,1,121.606357,25.051911,244,244
南港站出口2,2,121.60743,25.052025,245,245
象山站出口1,1,121.569394,25.033025,246,246
象山站出口2,2,121.569809,25.032366,247,247
象山站出口3,3,121.570408,25.03302,248,248
台北101/世貿站出口1,1,121.561671,25.033107,249,249
台北101/世貿站出口2,2,121.561564,25.032733,250,250
台北101/世貿站出口3,3,121.563646,25.032742,251,251
台北101/世貿站出口4,4,121.564112,25.033034,252,252
台北101/世貿站出口5,5,121.563292,25.033102,253,253
信義安和站出口1,1,121.552602,25.033377,254,254
信義安和站出口2,2,121.552332,25.033032,255,255
信義安和站出口3,3,121.553282,25.033022,256,256
信義安和站出口4,4,121.5534,25.033022,257,257
信義安和站出口5,5,121.553526,25.033326,258,258
大安森林公園站出口1,1,121.534442,25.033693,259,259
大安森林公園站出口2,2,121.534487,25.033391,260,260
大安森林公園站出口3,3,121.534882,25.033396,261,261
大安森林公園站出口4,4,121.535292,25.033391,262,262
大安森林公園站出口5,5,121.535989,25.033369,263,263
大安森林公園站出口6,6,121.535952,25.033654,264,264
輔大站出口1,1,121.435264,25.032932,265,265
輔大站出口2,2,121.435277,25.032315,266,266
輔大站出口3,3,121.436541,25.032776,267,267
輔大站出口4,4,121.43652,25.033175,268,268
新莊站出口1,1,121.452168,25.03615,269,269
新莊站出口2,2,121.4525,25.036014,270,270
頭前庄站出口1,1,121.460783,25.03963,271,271
頭前庄站出口2,2,121.460931,25.039068,272,272
頭前庄站出口3,3,121.462247,25.039853,273,273
頭前庄站出口4,4,121.462242,25.040485,274,274
先嗇宮站出口1,1,121.471319,25.046497,275,275
先嗇宮站出口2,2,121.471372,25.046094,276,276
先嗇宮站出口3,3,121.471801,25.046239,277,277
三重站出口1,1,121.483748,25.055303,278,278
三重站出口2,2,121.484451,25.055429,279,279
三重站出口3,3,121.485282,25.056134,280,280
菜寮站出口1,1,121.490673,25.05971,281,281
菜寮站出口2,2,121.491106,25.059287,282,282
菜寮站出口3,3,121.492111,25.060556,283,283
臺北橋站出口,0,121.500281,25.062966,284,284
大橋頭站出口1,1,121.512319,25.06318,285,285
大橋頭站出口2,2,121.513258,25.063195,286,286
大橋頭站出口3,3,121.51344,25.063739,287,287
中山國小站出口1,1,121.526095,25.06284,288,288
中山國小站出口2,2,121.526148,25.062461,289,289
中山國小站出口3,3,121.527114,25.062476,290,290
中山國小站出口4,4,121.526835,25.062835,291,291
行天宮站出口1,1,121.533004,25.058316,292,292
行天宮站出口2,2,121.533342,25.058792,293,293
行天宮站出口3,3,121.533393,25.059868,294,294
行天宮站出口4,4,121.532991,25.060365,295,295
東門站出口1,1,121.527994,25.034157,296,296
東門站出口2,2,121.527565,25.03422,297,297
東門站出口3,3,121.527854,25.033676,298,298
東門站出口4,4,121.528879,25.033646,299,299
東門站出口5,5,121.529506,25.033564,300,300
東門站出口6,6,121.529957,25.033924,301,301
東門站出口7,7,121.529678,25.033962,302,302
東門站出口8,8,121.528965,25.034074,303,303
蘆洲站出口1,1,121.464565,25.091463,304,304
蘆洲站出口2,2,121.464597,25.091609,305,305
蘆洲站出口3,3,121.464425,25.091618,306,306
三民高中站出口1,1,121.472542,25.085494,307,307
三民高中站出口2,2,121.473739,25.085791,308,308
徐匯中學站出口1,1,121.47988,25.080303,309,309
徐匯中學站出口2,2,121.480583,25.080332,310,310
三和國中站出口1,1,121.486398,25.076586,311,311
三和國中站出口2,2,121.486752,25.076946,312,312
三重國小站出口,0,121.496656,25.070536,313,313
迴龍站出口1,1,121.411264,25.021864,314,314
迴龍站出口2,2,121.41077,25.02118,315,315
迴龍站出口3,3,121.412482,25.022637,316,316
丹鳳站出口1,1,121.422282,25.029048,317,317
丹鳳站出口2,2,121.422615,25.028742,318,318
